CountryName,subset,question_code,question_label,answer,percentage,CountryID
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,56.0,IT
Italy,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,21.0,IT
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,35.0,LT
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60.0,LT
Lithuania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,5.0,LT
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,42.0,LU
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,47.0,LU
Luxembourg,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,11.0,LU
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,26.0,LV
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,74.0,LV
Latvia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,0.0,LV
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,,MT
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,,MT
Malta,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,,MT
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,64.0,NL
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,33.0,NL
Netherlands,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3.0,NL
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29.0,PL
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60.0,PL
Poland,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,11.0,PL
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,26.0,PT
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,60.0,PT
Portugal,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,14.0,PT
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,13.0,RO
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,78.0,RO
Romania,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,9.0,RO
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,47.0,SE
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,50.0,SE
Sweden,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,3.0,SE
Slovenia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,21.0,SI
Slovenia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,69.0,SI
Slovenia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,10.0,SI
Slovakia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,29.0,SK
Slovakia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,64.0,SK
Slovakia,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,7.0,SK
United Kingdom,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,64.0,GB
United Kingdom,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,34.0,GB
United Kingdom,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,1.0,GB
Average,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Yes,38.0,Unknown code
Average,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,No,53.0,Unknown code
Average,Transgender,tr1,Have you ever sought psychological or medical help for being a transgender person?,Don`t know,9.0,Unknown code
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,1.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,4.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,61.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,12.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,18.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,6.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,11.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),3.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,12.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,9.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,3.0,AT
Austria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,14.0,AT
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,1.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,3.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,48.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,8.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,13.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,12.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,7.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),2.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,10.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,5.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,7.0,BE
Belgium,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,38.0,BE
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,10.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,18.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,58.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,12.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,13.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,24.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,16.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),2.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,24.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,10.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,4.0,BG
Bulgaria,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,22.0,BG
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,25.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,15.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,40.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,10.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,30.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,15.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,25.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),5.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,20.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,15.0,CY
Cyprus,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,30.0,CY
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,2.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,4.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,70.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,5.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,15.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,14.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,11.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),4.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,17.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,5.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,3.0,CZ
Czech Republic,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,13.0,CZ
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,1.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,3.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,58.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,10.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,22.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,16.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,18.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),10.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,16.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,14.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,6.0,DE
Germany,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,18.0,DE
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,2.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,63.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,7.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,19.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,12.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,19.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),4.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,19.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,8.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,6.0,DK
Denmark,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,17.0,DK
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,,EE
Estonia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,,EE
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,13.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,18.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,35.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,13.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,12.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,15.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,17.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),4.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,16.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,8.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,5.0,GR
Greece,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,40.0,GR
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,1.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,4.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,63.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,7.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,13.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,10.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,9.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),8.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,13.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,8.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,6.0,ES
Spain,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,23.0,ES
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,0.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,65.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,10.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,29.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,14.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,17.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),12.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,22.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,13.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,9.0,FI
Finland,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,14.0,FI
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,3.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,2.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,54.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,7.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,16.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,12.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,17.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),2.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,14.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,5.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,7.0,FR
France,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,22.0,FR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,8.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,4.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,63.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,12.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,19.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,15.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,14.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),3.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,13.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,7.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,5.0,HR
Croatia,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,Other,20.0,HR
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not available in the country where you live,2.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is not covered by my country`s public health insurance,9.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not want / need help,49.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I cannot afford it due to financial reasons,11.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not dare to,22.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not have confidence in the services provided,17.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I do not know where to go,15.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It takes too much time (including waiting lists),9.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I am afraid of prejudice from the care providers,19.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,It is too complicated in terms of bureaucracy,12.0,HU
Hungary,Transgender,tr2,Why haven`t you ever sought psychological or medical help for being a transgender person?,I have had previous bad experiences with care providers,6.0,HU
