,question_code,answer,question_label
33,c4_c,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a house or apartment to rent or buy?"
34,c4_c,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a house or apartment to rent or buy?"
35,c4_c,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a house or apartment to rent or buy?"
36,c4_d,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by healthcare personnel (eg a receptionist, nurse or doctor)?"
37,c4_d,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by healthcare personnel (eg a receptionist, nurse or doctor)?"
38,c4_d,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by healthcare personnel (eg a receptionist, nurse or doctor)?"
39,c4_e,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by social service personnel?"
40,c4_e,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by social service personnel?"
41,c4_e,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by social service personnel?"
42,c4_f,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by school / university personnel?"
43,c4_f,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by school / university personnel?"
44,c4_f,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T by school / university personnel?"
45,c4_g,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a cafe, restaurant, bar or nightclub?"
46,c4_g,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a cafe, restaurant, bar or nightclub?"
47,c4_g,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a cafe, restaurant, bar or nightclub?"
48,c4_h,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a shop?"
49,c4_h,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a shop?"
50,c4_h,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a shop?"
51,c4_i,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T in a bank or insurance company (by bank or company personnel)?"
52,c4_i,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T in a bank or insurance company (by bank or company personnel)?"
53,c4_i,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T in a bank or insurance company (by bank or company personnel)?"
54,c4_j,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a sport or fitness club?"
55,c4_j,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a sport or fitness club?"
56,c4_j,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T at a sport or fitness club?"
57,c4_k,Don`t know,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when showing your ID or any official document that identifies your sex?"
58,c4_k,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when showing your ID or any official document that identifies your sex?"
59,c4_k,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when showing your ID or any official document that identifies your sex?"
60,c6,Don`t know,"Thinking about the most recent incident of discrimination, did you or anyone else report it anywhere?"
61,c6,No,"Thinking about the most recent incident of discrimination, did you or anyone else report it anywhere?"
62,c6,Yes,"Thinking about the most recent incident of discrimination, did you or anyone else report it anywhere?"
63,c7,Because I was too emotionally upset to report it,Why the most recent incident of discrimination was not reported?
64,c7,Concerned that the incident would not have been taken seriously,Why the most recent incident of discrimination was not reported?
65,c7,Dealt with the problem myself/with help from family or friends,Why the most recent incident of discrimination was not reported?
66,c7,Did not want to reveal my sexual orientation and/or gender identity,Why the most recent incident of discrimination was not reported?
67,c7,Didn`t know how or where to report,Why the most recent incident of discrimination was not reported?
68,c7,Fear of intimidation by perpetrators,Why the most recent incident of discrimination was not reported?
69,c7,Not worth reporting it - it happens all the time`,Why the most recent incident of discrimination was not reported?
70,c7,Nothing would happen or change,Why the most recent incident of discrimination was not reported?
71,c7,Other reason(s),Why the most recent incident of discrimination was not reported?
72,c7,"Too much trouble, no time",Why the most recent incident of discrimination was not reported?
73,c8a_a,Always,"During your employment in the last 5 years, have you been open about you being L,G,B or T at work?"
74,c8a_a,Never,"During your employment in the last 5 years, have you been open about you being L,G,B or T at work?"
75,c8a_a,Often,"During your employment in the last 5 years, have you been open about you being L,G,B or T at work?"
76,c8a_a,Rarely,"During your employment in the last 5 years, have you been open about you being L,G,B or T at work?"
77,c8a_b,Always,"During your employment in the last 5 years, have you hidden or disguised that you are L,G,B or T at work?"
78,c8a_b,Never,"During your employment in the last 5 years, have you hidden or disguised that you are L,G,B or T at work?"
79,c8a_b,Often,"During your employment in the last 5 years, have you hidden or disguised that you are L,G,B or T at work?"
80,c8a_b,Rarely,"During your employment in the last 5 years, have you hidden or disguised that you are L,G,B or T at work?"
81,c8a_c,Always,"During your employment in the last 5 years, have you experienced negative comments or conduct at work because of you being L, G, B or T?"
82,c8a_c,Never,"During your employment in the last 5 years, have you experienced negative comments or conduct at work because of you being L, G, B or T?"
83,c8a_c,Often,"During your employment in the last 5 years, have you experienced negative comments or conduct at work because of you being L, G, B or T?"
84,c8a_c,Rarely,"During your employment in the last 5 years, have you experienced negative comments or conduct at work because of you being L, G, B or T?"
85,c8a_d,Always,"During your employment in the last 5 years, have you heard or seen negative comments or conduct because a colleague is perceived to be lesbian, gay, bisexual and/or transgender?"
86,c8a_d,Never,"During your employment in the last 5 years, have you heard or seen negative comments or conduct because a colleague is perceived to be lesbian, gay, bisexual and/or transgender?"
87,c8a_d,Often,"During your employment in the last 5 years, have you heard or seen negative comments or conduct because a colleague is perceived to be lesbian, gay, bisexual and/or transgender?"
88,c8a_d,Rarely,"During your employment in the last 5 years, have you heard or seen negative comments or conduct because a colleague is perceived to be lesbian, gay, bisexual and/or transgender?"
89,c8a_e,Always,"During your employment in the last 5 years, have you experienced a general negative attitude at work against people because they are lesbian, gay, bisexual and/or transgender?"
90,c8a_e,Never,"During your employment in the last 5 years, have you experienced a general negative attitude at work against people because they are lesbian, gay, bisexual and/or transgender?"
91,c8a_e,Often,"During your employment in the last 5 years, have you experienced a general negative attitude at work against people because they are lesbian, gay, bisexual and/or transgender?"
92,c8a_e,Rarely,"During your employment in the last 5 years, have you experienced a general negative attitude at work against people because they are lesbian, gay, bisexual and/or transgender?"
93,c8a_f,Always,"During your employment in the last 5 years, have you experienced unequal treatment with respect to employment conditions or benefits (for example leave, pension, etc) because you have a same-sex partner?"
94,c8a_f,Never,"During your employment in the last 5 years, have you experienced unequal treatment with respect to employment conditions or benefits (for example leave, pension, etc) because you have a same-sex partner?"
95,c8a_f,Often,"During your employment in the last 5 years, have you experienced unequal treatment with respect to employment conditions or benefits (for example leave, pension, etc) because you have a same-sex partner?"
96,c8a_f,Rarely,"During your employment in the last 5 years, have you experienced unequal treatment with respect to employment conditions or benefits (for example leave, pension, etc) because you have a same-sex partner?"
97,c9_a,Always,"During your schooling before the age of 18, did you openly talk about you being L, G, B or T at school?"
98,c9_a,Never,"During your schooling before the age of 18, did you openly talk about you being L, G, B or T at school?"
99,c9_a,Often,"During your schooling before the age of 18, did you openly talk about you being L, G, B or T at school?"
100,c9_a,Rarely,"During your schooling before the age of 18, did you openly talk about you being L, G, B or T at school?"
101,c9_b,Always,"During your schooling before the age of 18, did you hide or disguise that you were L, G, B or T at school?"
102,c9_b,Never,"During your schooling before the age of 18, did you hide or disguise that you were L, G, B or T at school?"
103,c9_b,Often,"During your schooling before the age of 18, did you hide or disguise that you were L, G, B or T at school?"
104,c9_b,Rarely,"During your schooling before the age of 18, did you hide or disguise that you were L, G, B or T at school?"
105,c9_c,Always,"During your schooling before the age of 18, did you experience negative comments or conduct at school because of you being L, G, B or T?"
106,c9_c,Never,"During your schooling before the age of 18, did you experience negative comments or conduct at school because of you being L, G, B or T?"
107,c9_c,Often,"During your schooling before the age of 18, did you experience negative comments or conduct at school because of you being L, G, B or T?"
108,c9_c,Rarely,"During your schooling before the age of 18, did you experience negative comments or conduct at school because of you being L, G, B or T?"
109,c9_d,Always,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a schoolmate/peer was perceived to be lesbian, gay, bisexual and/or transgender?"
110,c9_d,Never,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a schoolmate/peer was perceived to be lesbian, gay, bisexual and/or transgender?"
111,c9_d,Often,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a schoolmate/peer was perceived to be lesbian, gay, bisexual and/or transgender?"
112,c9_d,Rarely,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a schoolmate/peer was perceived to be lesbian, gay, bisexual and/or transgender?"
113,c9_e,Always,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a teacher was perceived to be lesbian, gay, bisexual and/or transgender?"
114,c9_e,Never,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a teacher was perceived to be lesbian, gay, bisexual and/or transgender?"
115,c9_e,Often,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a teacher was perceived to be lesbian, gay, bisexual and/or transgender?"
116,c9_e,Rarely,"During your schooling before the age of 18, did you hear or see negative comments or conduct because a teacher was perceived to be lesbian, gay, bisexual and/or transgender?"
117,discrim1yr,No,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T in any of the following situations? *"
118,discrim1yr,Yes,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T in any of the following situations? *"
